Last,First,Spring '25,Spring '25 %,Fall '25,Fall '25 %,Winter '25,Winter '25 %
1,1,237,96,,,,
2,2,212,55,218,52,,
3,3,235,94,229,74,,
4,4,219,72,,,,
5,5,197,21,198,15,,
6,6,215,63,224,64,,
7,7,208,45,226,68,,
8,8,211,53,226,68,,
9,9,220,74,233,80,,
10,10,214,60,215,46,,
11,11,202,31,212,39,,
12,12,201,29,211,37,,
13,13,203,33,213,41,,
14,14,231,91,242,91,,
15,15,220,74,239,88,,
16,16,206,40,225,66,,
17,17,228,87,223,62,,
18,18,211,53,209,33,,
19,19,192,13,199,17,,
20,20,219,72,234,82,,
21,21,219,72,215,46,,
22,22,229,89,,,,
23,23,230,90,231,77,,
24,24,230,90,226,68,,
25,25,218,70,,,,
26,26,209,48,217,50,,
27,27,215,63,,,,
28,28,222,78,227,70,,
29,29,212,55,220,56,,
30,30,210,50,226,68,,
31,31,212,55,,,,
32,32,236,95,252,97,,
33,33,210,50,224,64,,
34,34,214,60,214,44,,
35,35,210,50,216,48,,
36,36,232,92,246,94,,
37,37,208,45,222,60,,
38,38,219,72,,,,
39,39,222,78,225,66,,
40,40,209,48,229,74,,
41,41,210,50,232,79,,
42,42,200,27,223,62,,
43,43,203,33,206,28,,
44,44,229,89,236,84,,
45,45,226,84,237,86,,
46,46,221,76,233,80,,
47,47,202,31,199,17,,
48,48,221,76,234,82,,
49,49,211,53,,,,
50,50,201,29,226,68,,
51,51,197,21,195,12,,
52,52,225,83,239,88,,
53,53,219,72,232,79,,
54,54,226,64,211,53,,
55,55,211,53,,,,
56,56,199,25,207,30,,
57,57,243,98,253,97,,
58,58,225,83,227,70,,
59,59,218,70,230,76,,
60,60,204,24,200,27,,
61,61,,,251,99,,
62,62,228,72,223,80,,
63,63,213,41,217,67,,
64,64,232,79,211,53,,
65,65,230,76,,,,
66,66,,,,,,
67,67,219,54,216,65,,
68,68,208,31,206,40,,
69,69,216,48,204,36,,
70,70,237,86,,,,
71,71,220,56,205,38,,
72,72,212,39,204,36,,
73,73,206,28,217,67,,
74,74,,,198,23,,
75,75,204,24,197,21,,
76,76,210,35,207,43,,
77,77,227,70,218,70,,
78,78,209,33,209,48,,
79,79,234,82,217,67,,
80,80,231,77,227,86,,
81,81,227,70,220,74,,
82,82,226,68,211,53,,
83,83,234,82,217,67,,
84,84,,,228,87,,
85,85,205,26,203,33,,
86,86,217,50,216,65,,
87,87,231,77,213,58,,
88,88,223,62,213,5,,
89,89,239,88,221,76,,
90,90,217,50,212,55,,
91,91,226,68,210,50,217,55
92,92,,,223,80,225,72
93,93,230,76,228,87,245,96
94,94,196,13,203,33,200,19
95,95,232,79,224,81,241,94
96,96,227,76,210,50,221,64
97,97,233,80,224,81,216,53
98,98,211,37,201,29,208,34
99,99,194,11,199,25,210,39
100,100,219,54,216,65,229,80
101,101,242,91,231,91,232,84
102,102,236,84,231,91,236,89
103,103,209,33,211,53,205,28
104,104,212,39,205,38,213,46
105,105,196,13,184,5,195,12
106,106,215,46,219,72,224,70
107,107,254,98,235,94,251,98
108,108,247,95,237,96,232,84
109,109,236,84,229,89,228,78
110,110,227,70,231,91,234,87
111,111,,,220,74,232,84
112,112,226,68,218,70,219,59
113,113,226,68,220,74,219,59
